Position,"Track Name",Artist,Streams,URL
1,"Can't Feel My Face","The Weeknd",860763,https://open.spotify.com/track/6FXNfYIY6iEeCKuIeSYWgg
2,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,701309,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
3,"The Hills","The Weeknd",671167,https://open.spotify.com/track/2HNcNd5RPZ7DSRNbIl6JsP
4,"Lean On (feat. MØ & DJ Snake)","Major Lazer",646661,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
5,"Trap Queen","Fetty Wap",616965,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
6,"Where Are Ü Now (with Justin Bieber)","Jack Ü",551022,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
7,"679 (feat. Remy Boyz)","Fetty Wap",544599,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
8,"Good For You","Selena Gomez",465564,https://open.spotify.com/track/2LcB304HDrCx8WVDEQn7CK
9,"Watch Me (Whip / Nae Nae)",Silentó,441980,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
10,"See You Again (feat. Charlie Puth)","Wiz Khalifa",437688,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
11,"You Know You Like It","DJ Snake",428146,https://open.spotify.com/track/57kR5SniQIbsbVoIjjOUDa
12,"Want To Want Me","Jason Derulo",420181,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
13,"R.I.C.O. (feat. Drake)","Meek Mill",384416,https://open.spotify.com/track/0Y0TOsE1q11qgbi7c5WZsG
14,"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan",375731,https://open.spotify.com/track/2LLFl56eIFGFlnrplUC26f
15,"All Eyes On You (feat. Chris Brown & Nicki Minaj)","Meek Mill",375329,https://open.spotify.com/track/0hy1SOTEn9ifXTzOwnCwEr
16,"Shut Up and Dance","WALK THE MOON",362423,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
17,"Bitch Better Have My Money",Rihanna,360646,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
18,"Talking Body","Tove Lo",346902,https://open.spotify.com/track/2tpfxAXiI52znho4WE3XFA
19,"Slow Motion","Trey Songz",345906,https://open.spotify.com/track/4NYwy0R3NdvORX2B6OZXBT
20,"Post To Be (feat. Chris Brown & Jhene Aiko)",Omarion,340332,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
21,"Worth It","Fifth Harmony",336918,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
22,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",322868,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
23,"Cool for the Summer","Demi Lovato",322750,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
24,"Fight Song","Rachel Platten",318093,https://open.spotify.com/track/6bRbeEgg8v8BQ0HuVuPE7v
25,Photograph,"Ed Sheeran",302753,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
26,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",300921,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
