Position,"Track Name",Artist,Streams,URL
1,"Can't Feel My Face","The Weeknd",809748,https://open.spotify.com/track/3X38ErFiKgzUxinBlhwuWm
2,"The Hills","The Weeknd",612740,https://open.spotify.com/track/2HNcNd5RPZ7DSRNbIl6JsP
3,"679 (feat. Remy Boyz)","Fetty Wap",609039,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
4,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,584382,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
5,"Lean On (feat. MØ & DJ Snake)","Major Lazer",571000,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
6,"Drag Me Down","One Direction",552415,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
7,"Good For You","Selena Gomez",506707,https://open.spotify.com/track/2LcB304HDrCx8WVDEQn7CK
8,"Trap Queen","Fetty Wap",457625,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
9,"Where Are Ü Now (with Justin Bieber)","Jack Ü",443858,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
10,"Back To Back",Drake,408133,https://open.spotify.com/track/5lFDtgWsjRJu8fPOAyJIAK
11,"My Way (feat. Monty)","Fetty Wap",389845,https://open.spotify.com/track/7zpZQzTwWBN0eOsmb4WPH3
12,"All Eyes On You (feat. Chris Brown & Nicki Minaj)","Meek Mill",377149,https://open.spotify.com/track/0hy1SOTEn9ifXTzOwnCwEr
13,"See You Again (feat. Charlie Puth)","Wiz Khalifa",371727,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
14,"Cool for the Summer","Demi Lovato",359027,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
15,"Watch Me (Whip / Nae Nae)",Silentó,358295,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
16,"Hotline Bling",Drake,345732,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
17,"You Know You Like It - DJ Snake Remix",AlunaGeorge,336755,https://open.spotify.com/track/4HfykP9fjZZJC3WBwFArb4
18,"Want To Want Me","Jason Derulo",328321,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
19,Photograph,"Ed Sheeran",322813,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
20,"Fight Song","Rachel Platten",314630,https://open.spotify.com/track/6bRbeEgg8v8BQ0HuVuPE7v
21,"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan",314507,https://open.spotify.com/track/2LLFl56eIFGFlnrplUC26f
22,"Worth It","Fifth Harmony",300865,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
23,"This Could Be Us","Rae Sremmurd",291980,https://open.spotify.com/track/4jTiyLlOJVJj3mCr7yfPQD
24,"Classic Man",Jidenna,290315,https://open.spotify.com/track/3G7XYAwtxtoGK7fAm4IlD9
25,"Shut Up and Dance","WALK THE MOON",280202,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
26,"Talking Body","Tove Lo",277019,https://open.spotify.com/track/2tpfxAXiI52znho4WE3XFA
27,"Bitch Better Have My Money",Rihanna,274512,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
28,"Slow Motion","Trey Songz",270561,https://open.spotify.com/track/4NYwy0R3NdvORX2B6OZXBT
29,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",269921,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
30,"R.I.C.O. (feat. Drake)","Meek Mill",268667,https://open.spotify.com/track/0Y0TOsE1q11qgbi7c5WZsG
31,"How Deep Is Your Love","Calvin Harris",261672,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
32,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",259941,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
33,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",253007,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
34,"Post To Be (feat. Chris Brown & Jhene Aiko)",Omarion,250853,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
35,"Honey, I'm Good.","Andy Grammer",249411,https://open.spotify.com/track/4orphgwPHHRsdEkfUmANSD
36,"Thinking Out Loud","Ed Sheeran",238511,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
37,Planes,Jeremih,235988,https://open.spotify.com/track/75rDNLl8v6qVYHXGzfHv4c
38,Stitches,"Shawn Mendes",235388,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
39,"Know Yourself",Drake,230022,https://open.spotify.com/track/5InOp6q2vvx0fShv3bzFLZ
40,Energy,Drake,228413,https://open.spotify.com/track/79XrkTOfV1AqySNjVlygpW
41,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",227420,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
42,Sugar,"Maroon 5",226363,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
43,"Elastic Heart",Sia,218588,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz
44,"Uptown Funk","Mark Ronson",216539,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
45,"Nasty Freestyle",T-Wayne,206194,https://open.spotify.com/track/0PT7nlpo11hYYyfnBgtilT
