Position,"Track Name",Artist,Streams,URL
1,Hello,Adele,1591250,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
2,Sorry,"Justin Bieber",1047559,https://open.spotify.com/track/2GpHJb7xGNBaIDTrBxjIu6
3,"Hotline Bling",Drake,1034476,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
4,Jumpman,Drake,661614,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
5,"What Do You Mean?","Justin Bieber",625775,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
6,"The Hills","The Weeknd",539464,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
7,Stitches,"Shawn Mendes",521874,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
8,"Can't Feel My Face","The Weeknd",490124,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
9,"679 (feat. Remy Boyz)","Fetty Wap",484299,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
10,"On My Mind","Ellie Goulding",443806,https://open.spotify.com/track/0kN5Ohxu97lwdDmP5n7FZE
11,Here,"Alessia Cara",435686,https://open.spotify.com/track/7IUF0dDdzguaFUwwA9BgDu
12,"Same Old Love","Selena Gomez",411808,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
13,"I'll Show You","Justin Bieber",399112,https://open.spotify.com/track/048thBsGA2IfiubeNWC0v2
14,Again,"Fetty Wap",391760,https://open.spotify.com/track/3ESSGgWzRf1xvP7G5hHMhB
15,"White Iverson","Post Malone",391113,https://open.spotify.com/track/2N0NifjyXAdMOB4KBGvBJ6
16,Focus,"Ariana Grande",384014,https://open.spotify.com/track/3IyeQMpMEqNcEvFQGJ2eps
17,"Trap Queen","Fetty Wap",367708,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ
18,"Lean On (feat. MØ & DJ Snake)","Major Lazer",348278,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
19,"Locked Away","R. City",323009,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
20,Antidote,"Travi$ Scott",319734,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq
21,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis",313441,https://open.spotify.com/track/0lLDaAdXcjOQ7Mf2NXzXay
22,"Back To Back",Drake,304566,https://open.spotify.com/track/5lFDtgWsjRJu8fPOAyJIAK
23,"Like I'm Gonna Lose You","Meghan Trainor",302083,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW
24,"Big Rings",Drake,301981,https://open.spotify.com/track/7jslhIiELQkgW9IHeYNOWE
25,"How Deep Is Your Love","Calvin Harris",291114,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
26,Perfect,"One Direction",286437,https://open.spotify.com/track/3DnzEB8Ffnp5sjnCbOugUX
