Position,"Track Name",Artist,Streams,URL
1,"See You Again (feat. Charlie Puth)","Wiz Khalifa",891547,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
2,"Trap Queen","Fetty Wap",776677,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
3,"Nasty Freestyle",T-Wayne,561286,https://open.spotify.com/track/0PT7nlpo11hYYyfnBgtilT
4,"Want To Want Me","Jason Derulo",455259,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
5,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",432870,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
6,"Where Are Ü Now (with Justin Bieber)","Jack Ü",420890,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
7,"Thinking Out Loud","Ed Sheeran",408834,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
8,"Shut Up and Dance","WALK THE MOON",408174,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
9,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",405793,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
10,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",382164,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
11,Sugar,"Maroon 5",378456,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
12,"Uptown Funk","Mark Ronson",378450,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
13,"Lean On (feat. MØ & DJ Snake)","Major Lazer",378232,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
14,"Bitch Better Have My Money",Rihanna,363254,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
15,Somebody,"Natalie La Rose",346355,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
16,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",333663,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
17,"Know Yourself",Drake,328743,https://open.spotify.com/track/5InOp6q2vvx0fShv3bzFLZ
18,"Talking Body","Tove Lo",325068,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
19,Believe,"Mumford & Sons",309717,https://open.spotify.com/track/2DVUJ7LTIOEQqjfOZXs8iU
20,"Worth It","Fifth Harmony",302321,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
21,FourFiveSeconds,Rihanna,294552,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
22,"Take Me To Church",Hozier,288710,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
23,"Post To Be (feat. Chris Brown & Jhene Aiko)",Omarion,278516,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
24,"Time of Our Lives",Pitbull,270010,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
25,"Honey, I'm Good.","Andy Grammer",268896,https://open.spotify.com/track/4orphgwPHHRsdEkfUmANSD
26,"Stole the Show",Kygo,266216,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
27,"Lay Me Down","Sam Smith",263508,https://open.spotify.com/track/5Nbe9vDQ1YJdreVIlhZEpP
28,Ayo,"Chris Brown",256934,https://open.spotify.com/track/0k6DnZMLoEUH8NGD5zh2SE
29,"You Know You Like It","DJ Snake",254571,https://open.spotify.com/track/1sNSG13fsK6KPKKNIQXXrh
30,"American Oxygen",Rihanna,254377,https://open.spotify.com/track/539HpTjkmnhbPn3p7mjByN
31,"Snake Eyes","Mumford & Sons",252878,https://open.spotify.com/track/1Ujrbg6RNkyazJ6DbRAutG
32,Energy,Drake,245824,https://open.spotify.com/track/79XrkTOfV1AqySNjVlygpW
33,"One Last Time","Ariana Grande",245488,https://open.spotify.com/track/2OlWBmSjf1aUPGLNf0UI5A
34,"Dear Future Husband","Meghan Trainor",244642,https://open.spotify.com/track/3cU2wBxuV6nFiuf6PJZNlC
35,"Truffle Butter","Nicki Minaj",240051,https://open.spotify.com/track/3keUgTGEoZJt0QkzTB6kHg
36,"I Want You To Know",Zedd,235887,https://open.spotify.com/track/1qx8bj4quT6XuP5P9Eu12Z
37,"I Don't Mind",Usher,234065,https://open.spotify.com/track/7aXuop4Qambx5Oi3ynsKQr
