Position,"Track Name",Artist,Streams,URL
1,"Can't Feel My Face","The Weeknd",710307,https://open.spotify.com/track/3X38ErFiKgzUxinBlhwuWm
2,"679 (feat. Remy Boyz)","Fetty Wap",629354,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
3,"The Hills","The Weeknd",589143,https://open.spotify.com/track/2HNcNd5RPZ7DSRNbIl6JsP
4,"Lean On (feat. MØ & DJ Snake)","Major Lazer",533800,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
5,"Hotline Bling",Drake,499552,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
6,"Good For You","Selena Gomez",489058,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
7,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,467387,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
8,"Trap Queen","Fetty Wap",427310,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
9,"Drag Me Down","One Direction",427303,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
10,"Where Are Ü Now (with Justin Bieber)","Jack Ü",407127,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
11,"Watch Me (Whip / Nae Nae)",Silentó,382810,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
12,"Cool for the Summer","Demi Lovato",377440,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
13,"My Way (feat. Monty)","Fetty Wap",373353,https://open.spotify.com/track/7zpZQzTwWBN0eOsmb4WPH3
14,"All Eyes On You (feat. Chris Brown & Nicki Minaj)","Meek Mill",349416,https://open.spotify.com/track/0hy1SOTEn9ifXTzOwnCwEr
15,"See You Again (feat. Charlie Puth)","Wiz Khalifa",332090,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
16,"Back To Back",Drake,324779,https://open.spotify.com/track/5lFDtgWsjRJu8fPOAyJIAK
17,Photograph,"Ed Sheeran",323315,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
18,"Locked Away","R. City",318800,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN
19,"Classic Man",Jidenna,317628,https://open.spotify.com/track/3G7XYAwtxtoGK7fAm4IlD9
20,"You Know You Like It - DJ Snake Remix",AlunaGeorge,317326,https://open.spotify.com/track/4HfykP9fjZZJC3WBwFArb4
21,"Shut Up and Dance","WALK THE MOON",301936,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
22,"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan",300446,https://open.spotify.com/track/2LLFl56eIFGFlnrplUC26f
23,"Fight Song","Rachel Platten",294698,https://open.spotify.com/track/6bRbeEgg8v8BQ0HuVuPE7v
24,"This Could Be Us","Rae Sremmurd",287792,https://open.spotify.com/track/4jTiyLlOJVJj3mCr7yfPQD
25,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",283985,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
26,"Post To Be (feat. Chris Brown & Jhene Aiko)",Omarion,280093,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
27,"How Deep Is Your Love","Calvin Harris",275971,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
28,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",275714,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
29,"Want To Want Me","Jason Derulo",272368,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
30,"Worth It","Fifth Harmony",268161,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
31,Stitches,"Shawn Mendes",264754,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
32,Again,"Fetty Wap",244018,https://open.spotify.com/track/4DHmHECcCKVLRcGNrbRi7P
33,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",241857,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
34,"House Party","Sam Hunt",239464,https://open.spotify.com/track/1TwLKNsCnhi1HxbIi4bAW0
35,Planes,Jeremih,239151,https://open.spotify.com/track/75rDNLl8v6qVYHXGzfHv4c
36,"Bitch Better Have My Money",Rihanna,234886,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
37,"Thinking Out Loud","Ed Sheeran",231743,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
38,"R.I.C.O. (feat. Drake)","Meek Mill",228614,https://open.spotify.com/track/0Y0TOsE1q11qgbi7c5WZsG
39,Sugar,"Maroon 5",222692,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
40,"Talking Body","Tove Lo",221516,https://open.spotify.com/track/2tpfxAXiI52znho4WE3XFA
41,"Kick The Dust Up","Luke Bryan",218155,https://open.spotify.com/track/7wVeIwUxcUddK44joZ3bPO
42,"Omen - Radio Edit",Disclosure,213630,https://open.spotify.com/track/3jEPu6FD1icy9cLllhB2XK
43,"She's Kinda Hot","5 Seconds of Summer",213374,https://open.spotify.com/track/56nMXANwYgYPBqGX9uEH2M
