Position,"Track Name",Artist,Streams,URL
1,"Can't Feel My Face","The Weeknd",711992,https://open.spotify.com/track/3X38ErFiKgzUxinBlhwuWm
2,"679 (feat. Remy Boyz)","Fetty Wap",640098,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
3,"The Hills","The Weeknd",618871,https://open.spotify.com/track/2HNcNd5RPZ7DSRNbIl6JsP
4,"Lean On (feat. MØ & DJ Snake)","Major Lazer",540857,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
5,"Good For You","Selena Gomez",501494,https://open.spotify.com/track/5XfywqPX6XBOdYQNbOaQvy
6,"Hotline Bling",Drake,485489,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
7,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,454061,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
8,"Trap Queen","Fetty Wap",447619,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
9,"Drag Me Down","One Direction",404133,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
10,"My Way (feat. Monty)","Fetty Wap",398462,https://open.spotify.com/track/7zpZQzTwWBN0eOsmb4WPH3
11,"Where Are Ü Now (with Justin Bieber)","Jack Ü",396889,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
12,"Watch Me (Whip / Nae Nae)",Silentó,388700,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
13,"Cool for the Summer","Demi Lovato",361660,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
14,"All Eyes On You (feat. Chris Brown & Nicki Minaj)","Meek Mill",359110,https://open.spotify.com/track/0hy1SOTEn9ifXTzOwnCwEr
15,"Locked Away","R. City",337307,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN
16,"Back To Back",Drake,336024,https://open.spotify.com/track/5lFDtgWsjRJu8fPOAyJIAK
17,"See You Again (feat. Charlie Puth)","Wiz Khalifa",329373,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
18,Photograph,"Ed Sheeran",324383,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
19,"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan",313482,https://open.spotify.com/track/2LLFl56eIFGFlnrplUC26f
20,"Classic Man",Jidenna,311277,https://open.spotify.com/track/3G7XYAwtxtoGK7fAm4IlD9
21,"You Know You Like It - DJ Snake Remix",AlunaGeorge,303106,https://open.spotify.com/track/4HfykP9fjZZJC3WBwFArb4
22,"Shut Up and Dance","WALK THE MOON",296933,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
23,"This Could Be Us","Rae Sremmurd",291065,https://open.spotify.com/track/4jTiyLlOJVJj3mCr7yfPQD
24,"Fight Song","Rachel Platten",290066,https://open.spotify.com/track/6bRbeEgg8v8BQ0HuVuPE7v
25,"Post To Be (feat. Chris Brown & Jhene Aiko)",Omarion,286262,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
26,Stitches,"Shawn Mendes",282164,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
27,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",280802,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
28,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",273701,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
29,"Want To Want Me","Jason Derulo",268939,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
30,"How Deep Is Your Love","Calvin Harris",264385,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
31,Again,"Fetty Wap",264217,https://open.spotify.com/track/4DHmHECcCKVLRcGNrbRi7P
32,"Worth It","Fifth Harmony",264140,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
33,"Bitch Better Have My Money",Rihanna,247591,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
34,Planes,Jeremih,246776,https://open.spotify.com/track/75rDNLl8v6qVYHXGzfHv4c
35,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",242417,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
36,"Thinking Out Loud","Ed Sheeran",232822,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
37,"House Party","Sam Hunt",232079,https://open.spotify.com/track/1TwLKNsCnhi1HxbIi4bAW0
38,"R.I.C.O. (feat. Drake)","Meek Mill",230101,https://open.spotify.com/track/0Y0TOsE1q11qgbi7c5WZsG
39,"Omen - Radio Edit",Disclosure,223354,https://open.spotify.com/track/3jEPu6FD1icy9cLllhB2XK
40,"Know Yourself",Drake,218685,https://open.spotify.com/track/5InOp6q2vvx0fShv3bzFLZ
41,"No Role Modelz","J. Cole",212861,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
42,Energy,Drake,212486,https://open.spotify.com/track/79XrkTOfV1AqySNjVlygpW
