Position,"Track Name",Artist,Streams,URL
1,"See You Again (feat. Charlie Puth)","Wiz Khalifa",977860,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
2,"Trap Queen","Fetty Wap",755686,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
3,"Nasty Freestyle",T-Wayne,461778,https://open.spotify.com/track/5P7dZsbWX0RvhxF2K9j6Ny
4,"Want To Want Me","Jason Derulo",457117,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
5,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",452647,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
6,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",425625,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
7,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",416604,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
8,"Where Are Ü Now (with Justin Bieber)","Jack Ü",415657,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
9,"Uptown Funk","Mark Ronson",407228,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
10,Sugar,"Maroon 5",397241,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
11,"Shut Up and Dance","WALK THE MOON",385868,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
12,"Thinking Out Loud","Ed Sheeran",381291,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
13,"Bitch Better Have My Money",Rihanna,374423,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
14,"Lean On (feat. MØ & DJ Snake)","Major Lazer",371206,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
15,Somebody,"Natalie La Rose",355204,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
16,"Talking Body","Tove Lo",333341,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
17,"Know Yourself",Drake,320600,https://open.spotify.com/track/5InOp6q2vvx0fShv3bzFLZ
18,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",304956,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
19,"Worth It","Fifth Harmony",304150,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
20,FourFiveSeconds,Rihanna,301030,https://open.spotify.com/track/5XzmZjXhMjDHr7ZfJ6DELQ
21,"Stole the Show",Kygo,292841,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
22,"Time of Our Lives",Pitbull,292017,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
