Position,"Track Name",Artist,Streams,URL
1,"Trap Queen","Fetty Wap",831969,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
2,"See You Again (feat. Charlie Puth)","Wiz Khalifa",804119,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
3,"Nasty Freestyle",T-Wayne,585251,https://open.spotify.com/track/0PT7nlpo11hYYyfnBgtilT
4,"Where Are Ü Now (with Justin Bieber)","Jack Ü",527999,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
5,"Lean On (feat. MØ & DJ Snake)","Major Lazer",527494,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
6,"Want To Want Me","Jason Derulo",512769,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
7,"Shut Up and Dance","WALK THE MOON",499657,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
8,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",495675,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
9,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",452164,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
10,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",435234,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
11,"Uptown Funk","Mark Ronson",419955,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
12,"Talking Body","Tove Lo",415261,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
13,Somebody,"Natalie La Rose",385843,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
14,"Bitch Better Have My Money",Rihanna,385699,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
15,Sugar,"Maroon 5",375897,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
16,"Worth It","Fifth Harmony",363810,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
17,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",342493,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
18,"Thinking Out Loud","Ed Sheeran",337668,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
19,"You Know You Like It","DJ Snake",328759,https://open.spotify.com/track/1sNSG13fsK6KPKKNIQXXrh
20,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,327609,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
21,"Stole the Show",Kygo,321505,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
22,"Know Yourself",Drake,311284,https://open.spotify.com/track/5InOp6q2vvx0fShv3bzFLZ
23,"Time of Our Lives",Pitbull,306002,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
24,"I Want You To Know",Zedd,301298,https://open.spotify.com/track/19RevBdb9MKUaBIvxSbGd4
25,"Post To Be (feat. Chris Brown & Jhene Aiko)",Omarion,300411,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
26,"Honey, I'm Good.","Andy Grammer",292959,https://open.spotify.com/track/4orphgwPHHRsdEkfUmANSD
27,Ayo,"Chris Brown",284277,https://open.spotify.com/track/0k6DnZMLoEUH8NGD5zh2SE
28,"Dear Future Husband","Meghan Trainor",275671,https://open.spotify.com/track/3cU2wBxuV6nFiuf6PJZNlC
