Position,"Track Name",Artist,Streams,URL
1,"All I Want for Christmas Is You","Mariah Carey",815109,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,Sorry,"Justin Bieber",804678,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
3,"Love Yourself","Justin Bieber",737996,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
4,"It's Beginning To Look A Lot Like Christmas","Michael Bublé",633163,https://open.spotify.com/track/5a1iz510sv2W9Dt1MvFd5R
5,Hello,Adele,572272,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
6,"Hotline Bling",Drake,534701,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
7,"It's the Most Wonderful Time of the Year","Andy Williams",521084,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
8,"What Do You Mean?","Justin Bieber",516122,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
9,Jumpman,Drake,509828,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
10,"Rockin' Around The Christmas Tree - Single Version","Brenda Lee",488395,https://open.spotify.com/track/3T7dNA7O8c3Axj5WyDNcH3
11,"Blue Christmas","Elvis Presley",465229,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
12,"White Christmas","Bing Crosby",447929,https://open.spotify.com/track/01h424WG38dgY34vkI3Yd0
13,"Let It Snow! Let It Snow! Let It Snow!","Frank Sinatra",421278,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
14,"White Iverson","Post Malone",416641,https://open.spotify.com/track/2N0NifjyXAdMOB4KBGvBJ6
15,"Jingle Bell Rock","Bobby Helms",412451,https://open.spotify.com/track/74u8cWJGP8d8xsdD0pFoWg
16,"The Hills","The Weeknd",384437,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
17,Don't,"Bryson Tiller",383854,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
18,"Me, Myself & I",G-Eazy,379606,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
19,"White Christmas (Duet With Shania Twain)","Michael Bublé",373059,https://open.spotify.com/track/6EM7JApNrP4fftMlDsOAZG
20,"Have Yourself A Merry Little Christmas","Sam Smith",344493,https://open.spotify.com/track/7Hz6LLOVxrojLPIHJJ1S0E
21,"All I Want For Christmas Is You","Michael Bublé",342814,https://open.spotify.com/track/1FRqLI971CD1QedTiJeL3c
22,Stitches,"Shawn Mendes",336506,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
23,Roses,"The Chainsmokers",333160,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
24,"Stressed Out","Twenty One Pilots",330909,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
25,"Run Rudolph Run - Single Version","Chuck Berry",327918,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ
26,"679 (feat. Remy Boyz)","Fetty Wap",327122,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
27,Here,"Alessia Cara",324942,https://open.spotify.com/track/1wYZZtamWTQAoj8B812uKQ
28,"The Christmas Song (Merry Christmas To You)","Nat King Cole",321781,https://open.spotify.com/track/4cqLCCMzG6GQ9Bch2PBzFp
29,"Same Old Love","Selena Gomez",300892,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
30,"Happy Xmas (War Is Over) - 2010 Digital Remaster","John Lennon",297667,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
31,Antidote,"Travi$ Scott",296676,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq
