Position,"Track Name",Artist,Streams,URL
1,Sorry,"Justin Bieber",1111508,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
2,"Love Yourself","Justin Bieber",1020207,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
3,Hello,Adele,753961,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
4,"What Do You Mean?","Justin Bieber",718901,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
5,"Hotline Bling",Drake,652897,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
6,Jumpman,Drake,626845,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
7,"Me, Myself & I",G-Eazy,541194,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
8,"White Iverson","Post Malone",526165,https://open.spotify.com/track/2N0NifjyXAdMOB4KBGvBJ6
9,"The Hills","The Weeknd",519822,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
10,Roses,"The Chainsmokers",509463,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
11,Stitches,"Shawn Mendes",475485,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
12,Here,"Alessia Cara",463160,https://open.spotify.com/track/1wYZZtamWTQAoj8B812uKQ
13,Don't,"Bryson Tiller",454691,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
14,"Stressed Out","Twenty One Pilots",451837,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
15,"Same Old Love","Selena Gomez",451031,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
16,"All I Want for Christmas Is You","Mariah Carey",440839,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
17,"679 (feat. Remy Boyz)","Fetty Wap",416313,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
18,"Hands To Myself","Selena Gomez",378678,https://open.spotify.com/track/1LoriJC05IrHIDwj3q0KC1
19,Antidote,"Travi$ Scott",374406,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq
20,"Can't Feel My Face","The Weeknd",370521,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
21,"On My Mind","Ellie Goulding",364020,https://open.spotify.com/track/5a7NdkF09AfD0H607eiOkX
22,"I Know What You Did Last Summer","Shawn Mendes",348408,https://open.spotify.com/track/7crplFzt7spG80NCbpmuCp
23,"Trap Queen","Fetty Wap",348139,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ
24,"No Role Modelz","J. Cole",344457,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
25,"In The Night","The Weeknd",343698,https://open.spotify.com/track/7fPHfBCyKE3aVCBjE4DAvl
26,"It's Beginning To Look A Lot Like Christmas","Michael Bublé",342157,https://open.spotify.com/track/5a1iz510sv2W9Dt1MvFd5R
27,"Where Are Ü Now (with Justin Bieber)","Jack Ü",340372,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
28,"Like I'm Gonna Lose You","Meghan Trainor",325609,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW
29,"I'll Show You","Justin Bieber",325196,https://open.spotify.com/track/747eWJy8c3u09N30NSqSTp
30,"My House","Flo Rida",320245,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
31,Perfect,"One Direction",318791,https://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk
32,Again,"Fetty Wap",305222,https://open.spotify.com/track/3ESSGgWzRf1xvP7G5hHMhB
33,Exchange,"Bryson Tiller",301059,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN
34,"Lean On (feat. MØ & DJ Snake)","Major Lazer",299096,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
35,"Big Rings",Drake,288893,https://open.spotify.com/track/7jslhIiELQkgW9IHeYNOWE
36,"Cake By The Ocean",DNCE,288739,https://open.spotify.com/track/0Kahm7qIT3oUsRSc4NWWmh
37,"Back To Back",Drake,282391,https://open.spotify.com/track/5lFDtgWsjRJu8fPOAyJIAK
