Position,"Track Name",Artist,Streams,URL
1,"Trap Queen","Fetty Wap",803948,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
2,"See You Again (feat. Charlie Puth)","Wiz Khalifa",788169,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
3,"Nasty Freestyle",T-Wayne,585165,https://open.spotify.com/track/0PT7nlpo11hYYyfnBgtilT
4,"Lean On (feat. MØ & DJ Snake)","Major Lazer",443744,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
5,"Want To Want Me","Jason Derulo",430453,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
6,"Shut Up and Dance","WALK THE MOON",416104,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
7,"Where Are Ü Now (with Justin Bieber)","Jack Ü",413973,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
8,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",412713,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
9,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",398979,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
10,"Uptown Funk","Mark Ronson",393133,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
11,Sugar,"Maroon 5",363653,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
12,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",356197,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
13,"Bitch Better Have My Money",Rihanna,341066,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
14,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",340254,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
15,Somebody,"Natalie La Rose",338001,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
16,"Thinking Out Loud","Ed Sheeran",317990,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
17,"Talking Body","Tove Lo",316895,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
18,"Know Yourself",Drake,304755,https://open.spotify.com/track/5InOp6q2vvx0fShv3bzFLZ
19,"Worth It","Fifth Harmony",297063,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
20,"You Know You Like It","DJ Snake",284241,https://open.spotify.com/track/1sNSG13fsK6KPKKNIQXXrh
21,"Post To Be (feat. Chris Brown & Jhene Aiko)",Omarion,274992,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
22,"Time of Our Lives",Pitbull,270682,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
23,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,255781,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
