Position,"Track Name",Artist,Streams,URL
1,Hello,Adele,2588900,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
2,Sorry,"Justin Bieber",1421046,https://open.spotify.com/track/2GpHJb7xGNBaIDTrBxjIu6
3,"Hotline Bling",Drake,1246232,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
4,Jumpman,Drake,785844,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
5,"What Do You Mean?","Justin Bieber",768725,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
6,"The Hills","The Weeknd",646505,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
7,Stitches,"Shawn Mendes",637799,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
8,"Can't Feel My Face","The Weeknd",573226,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
9,"679 (feat. Remy Boyz)","Fetty Wap",536858,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
10,"Same Old Love","Selena Gomez",508112,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
11,Here,"Alessia Cara",502889,https://open.spotify.com/track/7IUF0dDdzguaFUwwA9BgDu
12,"On My Mind","Ellie Goulding",501584,https://open.spotify.com/track/0kN5Ohxu97lwdDmP5n7FZE
13,Again,"Fetty Wap",435030,https://open.spotify.com/track/3ESSGgWzRf1xvP7G5hHMhB
14,"Lean On (feat. MØ & DJ Snake)","Major Lazer",425667,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
15,"Trap Queen","Fetty Wap",410920,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ
16,"White Iverson","Post Malone",408028,https://open.spotify.com/track/2N0NifjyXAdMOB4KBGvBJ6
17,"Good For You","Selena Gomez",393247,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
18,"Locked Away","R. City",378793,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
19,"Back To Back",Drake,376613,https://open.spotify.com/track/5lFDtgWsjRJu8fPOAyJIAK
20,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis",370340,https://open.spotify.com/track/0lLDaAdXcjOQ7Mf2NXzXay
21,Perfect,"One Direction",368993,https://open.spotify.com/track/3DnzEB8Ffnp5sjnCbOugUX
22,"Love Myself","Hailee Steinfeld",359656,https://open.spotify.com/track/52izjvF7wwveRG1rDJsGWe
23,"Big Rings",Drake,353767,https://open.spotify.com/track/7jslhIiELQkgW9IHeYNOWE
24,"Drag Me Down","One Direction",336949,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
25,Antidote,"Travi$ Scott",336050,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq
26,Renegades,"X Ambassadors",335364,https://open.spotify.com/track/0fYVliAYKHuPmECRs1pbRf
