Position,"Track Name",Artist,Streams,URL
1,"The Hills","The Weeknd",749672,https://open.spotify.com/track/2HNcNd5RPZ7DSRNbIl6JsP
2,"Can't Feel My Face","The Weeknd",747581,https://open.spotify.com/track/3X38ErFiKgzUxinBlhwuWm
3,"679 (feat. Remy Boyz)","Fetty Wap",667160,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
4,"Lean On (feat. MØ & DJ Snake)","Major Lazer",560906,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
5,"Hotline Bling",Drake,540516,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
6,"Good For You","Selena Gomez",488247,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
7,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,459000,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
8,"Trap Queen","Fetty Wap",442651,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
9,"Drag Me Down","One Direction",425395,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
10,"Where Are Ü Now (with Justin Bieber)","Jack Ü",397812,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
11,"My Way (feat. Monty)","Fetty Wap",394905,https://open.spotify.com/track/7zpZQzTwWBN0eOsmb4WPH3
12,"Locked Away","R. City",384917,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN
13,"Cool for the Summer","Demi Lovato",374922,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
14,"Watch Me (Whip / Nae Nae)",Silentó,361111,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
15,"All Eyes On You (feat. Chris Brown & Nicki Minaj)","Meek Mill",353633,https://open.spotify.com/track/0hy1SOTEn9ifXTzOwnCwEr
16,"Back To Back",Drake,350572,https://open.spotify.com/track/5lFDtgWsjRJu8fPOAyJIAK
17,Again,"Fetty Wap",350195,https://open.spotify.com/track/4DHmHECcCKVLRcGNrbRi7P
18,Stitches,"Shawn Mendes",321674,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
19,Photograph,"Ed Sheeran",320424,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
20,"This Could Be Us","Rae Sremmurd",318988,https://open.spotify.com/track/4jTiyLlOJVJj3mCr7yfPQD
21,"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan",310139,https://open.spotify.com/track/2LLFl56eIFGFlnrplUC26f
22,"Classic Man",Jidenna,309056,https://open.spotify.com/track/3G7XYAwtxtoGK7fAm4IlD9
23,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",293263,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
24,"See You Again (feat. Charlie Puth)","Wiz Khalifa",286526,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
25,"Shut Up and Dance","WALK THE MOON",285469,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
26,"How Deep Is Your Love","Calvin Harris",281905,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
27,"You Know You Like It - DJ Snake Remix",AlunaGeorge,281495,https://open.spotify.com/track/4HfykP9fjZZJC3WBwFArb4
28,"Post To Be (feat. Chris Brown & Jhene Aiko)",Omarion,278161,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
29,"Fight Song","Rachel Platten",276753,https://open.spotify.com/track/6bRbeEgg8v8BQ0HuVuPE7v
30,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",271266,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
31,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",261514,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
32,"Worth It","Fifth Harmony",261079,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
