Position,"Track Name",Artist,Streams,URL
1,"What Do You Mean?","Justin Bieber",900678,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
2,"The Hills","The Weeknd",855942,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
3,"Hotline Bling",Drake,821915,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
4,"Can't Feel My Face","The Weeknd",738085,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
5,"679 (feat. Remy Boyz)","Fetty Wap",726144,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
6,"Trap Queen","Fetty Wap",466561,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
7,"Lean On (feat. MØ & DJ Snake)","Major Lazer",461978,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
8,Stitches,"Shawn Mendes",452588,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
9,"Good For You","Selena Gomez",420799,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
10,"Back To Back",Drake,395101,https://open.spotify.com/track/5lFDtgWsjRJu8fPOAyJIAK
11,"Locked Away","R. City",392681,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN
12,Again,"Fetty Wap",366715,https://open.spotify.com/track/4DHmHECcCKVLRcGNrbRi7P
13,"Where Are Ü Now (with Justin Bieber)","Jack Ü",363207,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
14,"My Way (feat. Monty)","Fetty Wap",356292,https://open.spotify.com/track/7zpZQzTwWBN0eOsmb4WPH3
15,"Drag Me Down","One Direction",347528,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
16,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,323686,https://open.spotify.com/track/6fQcqEcXfnY0L6VwS0c3gT
17,"On My Mind","Ellie Goulding",321734,https://open.spotify.com/track/0kN5Ohxu97lwdDmP5n7FZE
18,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis",318510,https://open.spotify.com/track/0lLDaAdXcjOQ7Mf2NXzXay
19,"Cool for the Summer","Demi Lovato",311997,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
20,"Watch Me (Whip / Nae Nae)",Silentó,311350,https://open.spotify.com/track/1CvhKmrutTAta5awpJcFDn
21,"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan",307099,https://open.spotify.com/track/2LLFl56eIFGFlnrplUC26f
22,"RGF Island","Fetty Wap",302923,https://open.spotify.com/track/6I8IJzUFxy3AJW7y9FFVD9
23,"Love Myself","Hailee Steinfeld",300510,https://open.spotify.com/track/0xCmwofyCiXdhoBsMSNj2w
24,"Earned It (Fifty Shades Of Grey)","The Weeknd",291932,https://open.spotify.com/track/5UPwc30oJ4KhQYctNfv34x
25,"How Deep Is Your Love","Calvin Harris",291808,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
26,"All Eyes On You (feat. Chris Brown & Nicki Minaj)","Meek Mill",287846,https://open.spotify.com/track/0hy1SOTEn9ifXTzOwnCwEr
27,Often,"The Weeknd",269993,https://open.spotify.com/track/5SqSckut3FcoQKmGkMWgp1
28,"Classic Man",Jidenna,262700,https://open.spotify.com/track/3G7XYAwtxtoGK7fAm4IlD9
29,"Where Ya At",Future,258419,https://open.spotify.com/track/5nN8BwAQDJDguq7Dpd3JQQ
30,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",254444,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
31,Photograph,"Ed Sheeran",254022,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
32,"This Could Be Us","Rae Sremmurd",250550,https://open.spotify.com/track/4jTiyLlOJVJj3mCr7yfPQD
33,Planes,Jeremih,246121,https://open.spotify.com/track/75rDNLl8v6qVYHXGzfHv4c
34,"No Role Modelz","J. Cole",239717,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
35,Antidote,"Travi$ Scott",235785,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq
36,"Right Hand",Drake,235091,https://open.spotify.com/track/3lSR267IJfT54p0Gfuw7mi
37,"Dark Times","The Weeknd",232694,https://open.spotify.com/track/0Gi17qCJh9e9RJxLaYkm9l
38,"See You Again (feat. Charlie Puth)","Wiz Khalifa",227249,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
39,"Post To Be (feat. Chris Brown & Jhene Aiko)",Omarion,219997,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
40,Here,"Alessia Cara",219555,https://open.spotify.com/track/2jplimH0b7Abf5LQSPx27A
41,"Come Get Her","Rae Sremmurd",219065,https://open.spotify.com/track/1Ser4X0TKttOvo8bgdytTP
42,"New Americana",Halsey,218239,https://open.spotify.com/track/6Xs7OKt6i0Ddq8B4M5Dgvr
43,"Know Yourself",Drake,215176,https://open.spotify.com/track/5InOp6q2vvx0fShv3bzFLZ
44,Renegades,"X Ambassadors",214731,https://open.spotify.com/track/0fYVliAYKHuPmECRs1pbRf
45,Energy,Drake,213055,https://open.spotify.com/track/79XrkTOfV1AqySNjVlygpW
46,"House Party","Sam Hunt",203811,https://open.spotify.com/track/1TwLKNsCnhi1HxbIi4bAW0
47,"White Iverson","Post Malone",200483,https://open.spotify.com/track/2N0NifjyXAdMOB4KBGvBJ6
48,Acquainted,"The Weeknd",199651,https://open.spotify.com/track/7t5m6zRwIEBxmPt8lNoPPi
49,"Same Old Love","Selena Gomez",197585,https://open.spotify.com/track/7jv4Mb21bdd9SDVOm9Fm9l
50,"Thinking Out Loud","Ed Sheeran",196935,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
51,"Shut Up and Dance","WALK THE MOON",186127,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
52,"You Know You Like It","DJ Snake",179065,https://open.spotify.com/track/1sNSG13fsK6KPKKNIQXXrh
53,"Real Life","The Weeknd",177789,https://open.spotify.com/track/1VoJttdilLYpbpYN142Zek
54,"Fight Song","Rachel Platten",177166,https://open.spotify.com/track/6bRbeEgg8v8BQ0HuVuPE7v
55,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",173245,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
56,"Want To Want Me","Jason Derulo",172075,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
57,"R.I.C.O. (feat. Drake)","Meek Mill",171721,https://open.spotify.com/track/0Y0TOsE1q11qgbi7c5WZsG
58,"F*ck Up Some Commas",Future,169961,https://open.spotify.com/track/49zD0wr2S3d0lZPib0K4e1
59,Legend,Drake,166679,https://open.spotify.com/track/1ID1QFSNNxi0hiZCNcwjUC
60,"Worth It","Fifth Harmony",165845,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
61,Levels,"Nick Jonas",163225,https://open.spotify.com/track/7rVrQF43tH4mI0542hijUC
62,"Black Magic","Little Mix",162263,https://open.spotify.com/track/33NHr7lu7tCMjK05jUj1v0
63,"Bitch Better Have My Money",Rihanna,160949,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
64,"Tell Your Friends","The Weeknd",158916,https://open.spotify.com/track/28YLWwEB6xnJQYN7e062rH
65,"Sugar (feat. Francesco Yates)","Robin Schulz",158592,https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo
66,Sugar,"Maroon 5",153913,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
67,Prisoner,"The Weeknd",148685,https://open.spotify.com/track/2PUQu6RlN3DDJOoJ26JW8u
68,"Uma Thurman","Fall Out Boy",146807,https://open.spotify.com/track/5PUawWFG1oIS2NwEcyHaCr
69,"Hide Away",Daya,145493,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
70,"10 Bands",Drake,145307,https://open.spotify.com/track/12d5QFwzh60IIHlsSnAvps
71,"Uptown Funk","Mark Ronson",144162,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
72,"Stressed Out","Twenty One Pilots",141343,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
73,"Hula Hoop",OMI,141231,https://open.spotify.com/track/4vEUY73dVOg97Ajbqq9zgV
74,"Slow Motion","Trey Songz",140575,https://open.spotify.com/track/4NYwy0R3NdvORX2B6OZXBT
75,"Omen - Radio Edit",Disclosure,134891,https://open.spotify.com/track/3jEPu6FD1icy9cLllhB2XK
76,"Ghost Town","Adam Lambert",133833,https://open.spotify.com/track/44aN5xKL3kGHvQ5bXVk6B8
77,"Do It Again","Pia Mia",132238,https://open.spotify.com/track/1PTqbs9FV8hSJCS7OOF5OC
78,"Wet Dreamz","J. Cole",131823,https://open.spotify.com/track/6Ius4TC0L3cN74HT7ENE6e
79,"I Don't Fuck With You","Big Sean",130508,https://open.spotify.com/track/7FYH5AW3bVfZHJIQpq3UOA
80,"High By The Beach","Lana Del Rey",129327,https://open.spotify.com/track/2WFb9JwoOvZMoiuzZrCfR4
81,"Take Me To Church",Hozier,126235,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
82,"Weekend (feat. Miguel)","Mac Miller",125099,https://open.spotify.com/track/6GnhWMhgJb7uyiiPEiEkDA
83,Shameless,"The Weeknd",124078,https://open.spotify.com/track/66UVpCZ5aH3VV3Ic3PBUrP
