Position,"Track Name",Artist,Streams,URL
1,Hello,Adele,2733450,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
2,Sorry,"Justin Bieber",1409826,https://open.spotify.com/track/2GpHJb7xGNBaIDTrBxjIu6
3,"Hotline Bling",Drake,1266634,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
4,"What Do You Mean?","Justin Bieber",767759,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
5,Jumpman,Drake,752952,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
6,"The Hills","The Weeknd",649925,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
7,Stitches,"Shawn Mendes",641814,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
8,"Can't Feel My Face","The Weeknd",564502,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
9,"679 (feat. Remy Boyz)","Fetty Wap",528557,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
10,"Same Old Love","Selena Gomez",520189,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
11,Here,"Alessia Cara",509610,https://open.spotify.com/track/7IUF0dDdzguaFUwwA9BgDu
12,"On My Mind","Ellie Goulding",491042,https://open.spotify.com/track/0kN5Ohxu97lwdDmP5n7FZE
13,Again,"Fetty Wap",433247,https://open.spotify.com/track/3ESSGgWzRf1xvP7G5hHMhB
14,"Lean On (feat. MØ & DJ Snake)","Major Lazer",426756,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
15,"Trap Queen","Fetty Wap",404832,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ
16,Perfect,"One Direction",395719,https://open.spotify.com/track/3DnzEB8Ffnp5sjnCbOugUX
17,"White Iverson","Post Malone",395069,https://open.spotify.com/track/2N0NifjyXAdMOB4KBGvBJ6
18,"Good For You","Selena Gomez",394889,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
19,"Locked Away","R. City",393675,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
20,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis",385349,https://open.spotify.com/track/0lLDaAdXcjOQ7Mf2NXzXay
21,"Back To Back",Drake,369255,https://open.spotify.com/track/5lFDtgWsjRJu8fPOAyJIAK
22,"Love Myself","Hailee Steinfeld",351226,https://open.spotify.com/track/52izjvF7wwveRG1rDJsGWe
23,"Big Rings",Drake,347747,https://open.spotify.com/track/7jslhIiELQkgW9IHeYNOWE
24,Renegades,"X Ambassadors",346357,https://open.spotify.com/track/0fYVliAYKHuPmECRs1pbRf
25,"Drag Me Down","One Direction",344591,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
26,"Like I'm Gonna Lose You","Meghan Trainor",343776,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW
27,Confident,"Demi Lovato",335791,https://open.spotify.com/track/6WjmPTZKeDylStKmGHLcqQ
28,Antidote,"Travi$ Scott",331436,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq
29,"How Deep Is Your Love","Calvin Harris",323482,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
30,"No Role Modelz","J. Cole",316531,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
31,"Ex's & Oh's","Elle King",307640,https://open.spotify.com/track/70eDxAyAraNTiD6lx2ZEnH
32,"Right Hand",Drake,288162,https://open.spotify.com/track/3lSR267IJfT54p0Gfuw7mi
33,Roses,"The Chainsmokers",283121,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
34,"My Way (feat. Monty)","Fetty Wap",277705,https://open.spotify.com/track/1WoOzgvz6CgH4pX6a1RKGp
35,"Sugar (feat. Francesco Yates)","Robin Schulz",268083,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
36,Planes,Jeremih,266980,https://open.spotify.com/track/75rDNLl8v6qVYHXGzfHv4c
37,"New Americana",Halsey,265531,https://open.spotify.com/track/6Xs7OKt6i0Ddq8B4M5Dgvr
38,Photograph,"Ed Sheeran",263522,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
39,"Die A Happy Man","Thomas Rhett",260672,https://open.spotify.com/track/5kNe7PE09d6Kvw5pAsx23n
40,"Diamonds Dancing",Drake,259448,https://open.spotify.com/track/2AGottAzfC8bHzF7kEJ3Wa
41,"Where Are Ü Now (with Justin Bieber)","Jack Ü",259169,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
42,"Where Ya At",Future,257216,https://open.spotify.com/track/5nN8BwAQDJDguq7Dpd3JQQ
43,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",253622,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
44,"Someone Like You",Adele,251995,https://open.spotify.com/track/4kflIGfjdZJW4ot2ioixTB
45,Often,"The Weeknd",247086,https://open.spotify.com/track/5SqSckut3FcoQKmGkMWgp1
46,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,243907,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
47,"Earned It (Fifty Shades Of Grey)","The Weeknd",237686,https://open.spotify.com/track/5UPwc30oJ4KhQYctNfv34x
48,"Come Get Her","Rae Sremmurd",234869,https://open.spotify.com/track/1Ser4X0TKttOvo8bgdytTP
49,Energy,Drake,234405,https://open.spotify.com/track/79XrkTOfV1AqySNjVlygpW
50,"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan",229747,https://open.spotify.com/track/2LLFl56eIFGFlnrplUC26f
51,"All Eyes On You (feat. Chris Brown & Nicki Minaj)","Meek Mill",217051,https://open.spotify.com/track/0hy1SOTEn9ifXTzOwnCwEr
52,"Lay It All On Me (feat. Ed Sheeran)",Rudimental,205956,https://open.spotify.com/track/33tC5va4jMyt2B5Z1varQh
53,"Hide Away",Daya,201477,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
54,Don't,"Bryson Tiller",198754,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
55,"Thinking Out Loud","Ed Sheeran",198164,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
56,"Digital Dash",Drake,194195,https://open.spotify.com/track/0GR7iJLhj80KD5LkA14ZRn
57,"See You Again (feat. Charlie Puth)","Wiz Khalifa",192437,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
58,"Rolling in the Deep",Adele,187621,https://open.spotify.com/track/1CkvWZme3pRgbzaxZnTl5X
59,Scholarships,Drake,186910,https://open.spotify.com/track/0B5OTb36fzLayn6XQHg5A1
60,"RGF Island","Fetty Wap",185858,https://open.spotify.com/track/1iuljeYz6ZG3GTJOZZkoer
61,"This Could Be Us","Rae Sremmurd",185172,https://open.spotify.com/track/4jTiyLlOJVJj3mCr7yfPQD
62,"Know Yourself",Drake,178280,https://open.spotify.com/track/5InOp6q2vvx0fShv3bzFLZ
63,"Electric Love",BØRNS,177879,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
64,"Dark Times","The Weeknd",171627,https://open.spotify.com/track/0Gi17qCJh9e9RJxLaYkm9l
65,"Stressed Out","Twenty One Pilots",170952,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
66,"Gold Slugs","DJ Khaled",165810,https://open.spotify.com/track/3NMNNcNGnNz7bBSCinr5hv
67,"Cool for the Summer","Demi Lovato",163993,https://open.spotify.com/track/73Qlt0XuhuYzEigjitm2ze
68,"Live From The Gutter",Drake,161340,https://open.spotify.com/track/2uTG00P1DkhB97pdITkl2O
69,"Classic Man",Jidenna,160775,https://open.spotify.com/track/3G7XYAwtxtoGK7fAm4IlD9
70,"Shut Up and Dance","WALK THE MOON",160754,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
71,"Me, Myself & I",G-Eazy,158890,https://open.spotify.com/track/0KMYgSe9JWHloFeEVBU6qq
72,Alive,Sia,158453,https://open.spotify.com/track/05cXQMJcrM9msUYu11mOrs
73,"That's How You Know (feat. Kid Ink & Bebe Rexha)","Nico & Vinz",157858,https://open.spotify.com/track/3icbmPGKTsKAa0IinkizCM
74,"Set Fire to the Rain",Adele,157514,https://open.spotify.com/track/3CKCZ9pfwAfoMZlMncA1Nc
75,"Powerful (feat. Ellie Goulding & Tarrus Riley)","Major Lazer",157258,https://open.spotify.com/track/4oyWrvyORD6uCSYCLSRF6W
76,"Watch Me (Whip / Nae Nae)",Silentó,154152,https://open.spotify.com/track/1CvhKmrutTAta5awpJcFDn
77,"I'm The Plug",Drake,153405,https://open.spotify.com/track/6bqtKURdSWkInAJHDkuaL0
78,"F*ck Up Some Commas",Future,153095,https://open.spotify.com/track/49zD0wr2S3d0lZPib0K4e1
79,"Break Up In A Small Town","Sam Hunt",152144,https://open.spotify.com/track/7aftSOGSOpSoIlVAQVBb71
80,Legend,Drake,150480,https://open.spotify.com/track/1ID1QFSNNxi0hiZCNcwjUC
81,"Wet Dreamz","J. Cole",149832,https://open.spotify.com/track/6Ius4TC0L3cN74HT7ENE6e
82,"Take Me To Church",Hozier,148026,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
83,"House Party","Sam Hunt",145508,https://open.spotify.com/track/1TwLKNsCnhi1HxbIi4bAW0
84,Sugar,"Maroon 5",144584,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
85,Levels,"Nick Jonas",143814,https://open.spotify.com/track/7rVrQF43tH4mI0542hijUC
86,"Uptown Funk","Mark Ronson",143448,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
87,"Post To Be (feat. Chris Brown & Jhene Aiko)",Omarion,142559,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
88,"Change Locations",Drake,142493,https://open.spotify.com/track/4gowy3WT6D1yhMLgRBlf9C
