Position,"Track Name",Artist,Streams,URL
1,"The Hills","The Weeknd",988053,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
2,"What Do You Mean?","Justin Bieber",978725,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
3,"Hotline Bling",Drake,966089,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
4,"Can't Feel My Face","The Weeknd",792702,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
5,"679 (feat. Remy Boyz)","Fetty Wap",737261,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
6,Stitches,"Shawn Mendes",563316,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
7,"Trap Queen","Fetty Wap",550581,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
8,"Lean On (feat. MØ & DJ Snake)","Major Lazer",514049,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
9,"Good For You","Selena Gomez",493171,https://open.spotify.com/track/6kBp8w67thoYqTUOQVSGFg
10,"On My Mind","Ellie Goulding",479408,https://open.spotify.com/track/0kN5Ohxu97lwdDmP5n7FZE
11,Again,"Fetty Wap",466030,https://open.spotify.com/track/4DHmHECcCKVLRcGNrbRi7P
12,"Locked Away","R. City",460888,https://open.spotify.com/track/0sQLhT32E9ZG2zn5iYR6nN
13,"RGF Island","Fetty Wap",450960,https://open.spotify.com/track/6I8IJzUFxy3AJW7y9FFVD9
14,"Back To Back",Drake,435205,https://open.spotify.com/track/5lFDtgWsjRJu8fPOAyJIAK
15,Infinity,"One Direction",427130,https://open.spotify.com/track/7zlF2G7QFPdj9lmmGNVuNq
16,"Love Myself","Hailee Steinfeld",424056,https://open.spotify.com/track/0xCmwofyCiXdhoBsMSNj2w
17,"My Way (feat. Monty)","Fetty Wap",407212,https://open.spotify.com/track/7zpZQzTwWBN0eOsmb4WPH3
18,"Where Are Ü Now (with Justin Bieber)","Jack Ü",402059,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
19,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis",401520,https://open.spotify.com/track/0lLDaAdXcjOQ7Mf2NXzXay
20,"Drag Me Down","One Direction",393233,https://open.spotify.com/track/70OTIpw8x8UXUsuCHW9i1i
21,"How Deep Is Your Love","Calvin Harris",357756,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
22,"Cool for the Summer","Demi Lovato",332433,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
23,"Classic Man",Jidenna,330887,https://open.spotify.com/track/3G7XYAwtxtoGK7fAm4IlD9
24,"All Eyes On You (feat. Chris Brown & Nicki Minaj)","Meek Mill",329980,https://open.spotify.com/track/0hy1SOTEn9ifXTzOwnCwEr
25,"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan",319607,https://open.spotify.com/track/2LLFl56eIFGFlnrplUC26f
26,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,318541,https://open.spotify.com/track/6fQcqEcXfnY0L6VwS0c3gT
27,"Earned It (Fifty Shades Of Grey)","The Weeknd",312782,https://open.spotify.com/track/5UPwc30oJ4KhQYctNfv34x
28,"Right Hand",Drake,306899,https://open.spotify.com/track/3lSR267IJfT54p0Gfuw7mi
29,"This Could Be Us","Rae Sremmurd",301691,https://open.spotify.com/track/4jTiyLlOJVJj3mCr7yfPQD
30,Often,"The Weeknd",299145,https://open.spotify.com/track/5SqSckut3FcoQKmGkMWgp1
31,"Where Ya At",Future,298941,https://open.spotify.com/track/5nN8BwAQDJDguq7Dpd3JQQ
32,Here,"Alessia Cara",297184,https://open.spotify.com/track/2jplimH0b7Abf5LQSPx27A
33,Photograph,"Ed Sheeran",287342,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
34,"No Role Modelz","J. Cole",285463,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
35,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",283508,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
36,"Watch Me (Whip / Nae Nae)",Silentó,280484,https://open.spotify.com/track/1CvhKmrutTAta5awpJcFDn
37,"Come Get Her","Rae Sremmurd",278853,https://open.spotify.com/track/1Ser4X0TKttOvo8bgdytTP
38,Planes,Jeremih,276932,https://open.spotify.com/track/75rDNLl8v6qVYHXGzfHv4c
39,"Diamonds Dancing",Drake,275282,https://open.spotify.com/track/1sJU5QlgpMaORYwMi1DR9o
40,Renegades,"X Ambassadors",272369,https://open.spotify.com/track/0fYVliAYKHuPmECRs1pbRf
41,Antidote,"Travi$ Scott",266403,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq
42,Jumpman,Drake,265223,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
43,"Same Old Love","Selena Gomez",263975,https://open.spotify.com/track/7jv4Mb21bdd9SDVOm9Fm9l
44,Magnets,Disclosure,262075,https://open.spotify.com/track/0Hvos2Byg9RCfZQzCswB7c
45,"Sugar (feat. Francesco Yates)","Robin Schulz",261790,https://open.spotify.com/track/3NFuE3uDOr6QUw9UZ9HzKo
46,"Dark Times","The Weeknd",259583,https://open.spotify.com/track/0Gi17qCJh9e9RJxLaYkm9l
47,"New Americana",Halsey,250798,https://open.spotify.com/track/6Xs7OKt6i0Ddq8B4M5Dgvr
48,Energy,Drake,247274,https://open.spotify.com/track/79XrkTOfV1AqySNjVlygpW
49,"Know Yourself",Drake,247150,https://open.spotify.com/track/5InOp6q2vvx0fShv3bzFLZ
50,"White Iverson","Post Malone",245776,https://open.spotify.com/track/2N0NifjyXAdMOB4KBGvBJ6
51,"House Party","Sam Hunt",241218,https://open.spotify.com/track/1TwLKNsCnhi1HxbIi4bAW0
52,"See You Again (feat. Charlie Puth)","Wiz Khalifa",240225,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
53,Levels,"Nick Jonas",229684,https://open.spotify.com/track/7rVrQF43tH4mI0542hijUC
54,"Post To Be (feat. Chris Brown & Jhene Aiko)",Omarion,226858,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
55,"Thinking Out Loud","Ed Sheeran",226643,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
56,"Lay It All On Me (feat. Ed Sheeran)",Rudimental,214493,https://open.spotify.com/track/0RAXbA0EGydtxACuuTlUrl
57,Acquainted,"The Weeknd",213710,https://open.spotify.com/track/7t5m6zRwIEBxmPt8lNoPPi
58,"Writing's On The Wall","Sam Smith",211480,https://open.spotify.com/track/1PWnAEQcbwQwK759otUbta
59,"Big Rings",Drake,210866,https://open.spotify.com/track/31ZaSoek4y74F6HPhXylr8
60,"Hide Away",Daya,209587,https://open.spotify.com/track/2hsza71y54ABzmabyNDtM4
61,"Digital Dash",Drake,208682,https://open.spotify.com/track/0GR7iJLhj80KD5LkA14ZRn
62,"You Know You Like It","DJ Snake",199645,https://open.spotify.com/track/1sNSG13fsK6KPKKNIQXXrh
63,"Do It Again","Pia Mia",198731,https://open.spotify.com/track/1PTqbs9FV8hSJCS7OOF5OC
64,Legend,Drake,192361,https://open.spotify.com/track/1ID1QFSNNxi0hiZCNcwjUC
65,"F*ck Up Some Commas",Future,189832,https://open.spotify.com/track/49zD0wr2S3d0lZPib0K4e1
66,"Shut Up and Dance","WALK THE MOON",186915,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
67,"R.I.C.O. (feat. Drake)","Meek Mill",184707,https://open.spotify.com/track/0Y0TOsE1q11qgbi7c5WZsG
68,"Want To Want Me","Jason Derulo",184390,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
69,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",182989,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
70,"Live From The Gutter",Drake,181984,https://open.spotify.com/track/2uTG00P1DkhB97pdITkl2O
71,"Jugg (feat. Monty)","Fetty Wap",179871,https://open.spotify.com/track/0W1OeXDPntUH0BeyJtE9UM
72,"Hula Hoop",OMI,179560,https://open.spotify.com/track/4vEUY73dVOg97Ajbqq9zgV
73,"Fight Song","Rachel Platten",176888,https://open.spotify.com/track/6bRbeEgg8v8BQ0HuVuPE7v
74,"Easy Love - Original Mix",Sigala,174206,https://open.spotify.com/track/5MMp4HNtX6T2xT9w6Xmaxn
75,"Ain't Nobody (Loves Me Better)","Felix Jaehn",172371,https://open.spotify.com/track/5afHIkEcVhCF1Z1CTqMUXB
76,"Real Life","The Weeknd",171346,https://open.spotify.com/track/1VoJttdilLYpbpYN142Zek
77,"Bitch Better Have My Money",Rihanna,169014,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
78,Sugar,"Maroon 5",169010,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
79,"10 Bands",Drake,168145,https://open.spotify.com/track/12d5QFwzh60IIHlsSnAvps
80,"Tell Your Friends","The Weeknd",168098,https://open.spotify.com/track/28YLWwEB6xnJQYN7e062rH
81,"Black Magic","Little Mix",167690,https://open.spotify.com/track/33NHr7lu7tCMjK05jUj1v0
82,Scholarships,Drake,166444,https://open.spotify.com/track/0B5OTb36fzLayn6XQHg5A1
83,Nocturnal,Disclosure,165064,https://open.spotify.com/track/2ZbqLzPVJxwJ5KPVXb3KaL
84,"Ghost Town","Adam Lambert",162961,https://open.spotify.com/track/44aN5xKL3kGHvQ5bXVk6B8
85,"Worth It","Fifth Harmony",161252,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
86,"I'm The Plug",Drake,159058,https://open.spotify.com/track/3nR43A2UqJAkYzbYfIHRGa
87,"Uptown Funk","Mark Ronson",157772,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
88,"Wet Dreamz","J. Cole",156234,https://open.spotify.com/track/6Ius4TC0L3cN74HT7ENE6e
89,"Plastic Bag",Drake,154993,https://open.spotify.com/track/1h0VyjjtKqqvMNjW82JyyE
90,"Stressed Out","Twenty One Pilots",154263,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
91,"Weekend (feat. Miguel)","Mac Miller",152570,https://open.spotify.com/track/6GnhWMhgJb7uyiiPEiEkDA
92,"Omen - Radio Edit",Disclosure,152111,https://open.spotify.com/track/3jEPu6FD1icy9cLllhB2XK
93,Prisoner,"The Weeknd",152082,https://open.spotify.com/track/2PUQu6RlN3DDJOoJ26JW8u
94,"Crash And Burn","Thomas Rhett",151630,https://open.spotify.com/track/7IAWwCJwJyDze679B3bSGP
95,"Slow Motion","Trey Songz",151075,https://open.spotify.com/track/4NYwy0R3NdvORX2B6OZXBT
96,Alive,Sia,150953,https://open.spotify.com/track/05cXQMJcrM9msUYu11mOrs
97,"Let It Bang","Fetty Wap",149415,https://open.spotify.com/track/06do2ZrTPjYCa8hoiZYA8b
98,"30 for 30 Freestyle",Drake,148832,https://open.spotify.com/track/1DmnEYXa4WfbdhAPwNzgD8
99,"Take Me To Church",Hozier,146711,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
100,"679 (feat. Monty)","Fetty Wap",146038,https://open.spotify.com/track/0w3Q3VFdrYzo24QUIGnBNy
101,"Here for You",Kygo,145672,https://open.spotify.com/track/7vqUr6K2Js9Paq4kdNSOm6
102,"I Don't Fuck With You","Big Sean",145326,https://open.spotify.com/track/7FYH5AW3bVfZHJIQpq3UOA
103,"Change Locations",Drake,144715,https://open.spotify.com/track/35Nsvr22p4RsudZoH8kLdC
104,"Powerful (feat. Ellie Goulding & Tarrus Riley)","Major Lazer",142736,https://open.spotify.com/track/4oyWrvyORD6uCSYCLSRF6W
105,"Uma Thurman","Fall Out Boy",141706,https://open.spotify.com/track/5PUawWFG1oIS2NwEcyHaCr
106,"0 To 100 / The Catch Up",Drake,140679,https://open.spotify.com/track/4jtyUzZm9WLc2AdaJ1dso7
107,Jersey,Future,139689,https://open.spotify.com/track/2ACys0pX0SjmpQmQWzp7wt
108,"That's How You Know (feat. Kid Ink & Bebe Rexha)","Nico & Vinz",138209,https://open.spotify.com/track/3icbmPGKTsKAa0IinkizCM
109,"Tenerife Sea","Ed Sheeran",136236,https://open.spotify.com/track/1HbcclMpw0q2WDWpdGCKdS
110,Alright,"Kendrick Lamar",132769,https://open.spotify.com/track/3iVcZ5G6tvkXZkZKlMpIUs
111,"Like I'm Gonna Lose You","Meghan Trainor",130292,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW
112,Shameless,"The Weeknd",129146,https://open.spotify.com/track/66UVpCZ5aH3VV3Ic3PBUrP
113,Riptide,"Vance Joy",127958,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
114,"Stay With Me","Sam Smith",127539,https://open.spotify.com/track/7IHOIqZUUInxjVkko181PB
115,Losers,"The Weeknd",126799,https://open.spotify.com/track/1RM7XdyfDnksC1ukt4y67n
116,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",125029,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
117,"$ave Dat Money (feat. Fetty Wap & Rich Homie Quan)","Lil Dicky",123687,https://open.spotify.com/track/6AoYWCzsDls6c61Zp5qTuU
