Position,"Track Name",Artist,Streams,URL
1,"Can't Feel My Face","The Weeknd",849811,https://open.spotify.com/track/6FXNfYIY6iEeCKuIeSYWgg
2,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,627584,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
3,"The Hills","The Weeknd",622620,https://open.spotify.com/track/2HNcNd5RPZ7DSRNbIl6JsP
4,"679 (feat. Remy Boyz)","Fetty Wap",615834,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
5,"Lean On (feat. MØ & DJ Snake)","Major Lazer",586366,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
6,"Good For You","Selena Gomez",539755,https://open.spotify.com/track/2LcB304HDrCx8WVDEQn7CK
7,"Trap Queen","Fetty Wap",503807,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
8,"Where Are Ü Now (with Justin Bieber)","Jack Ü",479348,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
9,"Watch Me (Whip / Nae Nae)",Silentó,448555,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
10,"See You Again (feat. Charlie Puth)","Wiz Khalifa",401439,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
11,"My Way (feat. Monty)","Fetty Wap",390567,https://open.spotify.com/track/7zpZQzTwWBN0eOsmb4WPH3
12,"All Eyes On You (feat. Chris Brown & Nicki Minaj)","Meek Mill",387018,https://open.spotify.com/track/0hy1SOTEn9ifXTzOwnCwEr
13,"You Know You Like It - DJ Snake Remix",AlunaGeorge,368436,https://open.spotify.com/track/4HfykP9fjZZJC3WBwFArb4
14,"Cool for the Summer","Demi Lovato",364201,https://open.spotify.com/track/1KK0j3djUgx5tuOMwesdAT
15,"Want To Want Me","Jason Derulo",349712,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
16,"Fight Song","Rachel Platten",337567,https://open.spotify.com/track/6bRbeEgg8v8BQ0HuVuPE7v
17,Photograph,"Ed Sheeran",332709,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
18,"R.I.C.O. (feat. Drake)","Meek Mill",325886,https://open.spotify.com/track/0Y0TOsE1q11qgbi7c5WZsG
19,"Worth It","Fifth Harmony",322434,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
20,"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan",315069,https://open.spotify.com/track/2LLFl56eIFGFlnrplUC26f
21,"Talking Body","Tove Lo",311651,https://open.spotify.com/track/2tpfxAXiI52znho4WE3XFA
22,"Shut Up and Dance","WALK THE MOON",310955,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
23,"Slow Motion","Trey Songz",296392,https://open.spotify.com/track/4NYwy0R3NdvORX2B6OZXBT
24,"Bitch Better Have My Money",Rihanna,295887,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
25,"Classic Man",Jidenna,295810,https://open.spotify.com/track/3G7XYAwtxtoGK7fAm4IlD9
26,"Honey, I'm Good.","Andy Grammer",291807,https://open.spotify.com/track/4orphgwPHHRsdEkfUmANSD
27,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida",291361,https://open.spotify.com/track/2S5LNtRVRPbXk01yRQ14sZ
28,"This Could Be Us","Rae Sremmurd",274159,https://open.spotify.com/track/4jTiyLlOJVJj3mCr7yfPQD
29,"The Night Is Still Young","Nicki Minaj",273809,https://open.spotify.com/track/4bBrKDo8rchikwZOtmXbIH
30,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",269114,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
31,"Post To Be (feat. Chris Brown & Jhene Aiko)",Omarion,263470,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
32,"How Deep Is Your Love","Calvin Harris",263284,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
33,Energy,Drake,257840,https://open.spotify.com/track/79XrkTOfV1AqySNjVlygpW
34,Sugar,"Maroon 5",248218,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
35,"Thinking Out Loud","Ed Sheeran",244438,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
36,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",241778,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
37,"Marvin Gaye (feat. Meghan Trainor)","Charlie Puth",237304,https://open.spotify.com/track/6ukMqDxnOPOgoHdak7Kyp3
38,"Know Yourself",Drake,234514,https://open.spotify.com/track/5InOp6q2vvx0fShv3bzFLZ
39,"Uptown Funk","Mark Ronson",234240,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
40,Stitches,"Shawn Mendes",232732,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
41,Fun,Pitbull,232563,https://open.spotify.com/track/6Zo3wgDE076K2AuiGZF3CS
42,"Elastic Heart",Sia,231382,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz
43,"Nasty Freestyle",T-Wayne,225380,https://open.spotify.com/track/0PT7nlpo11hYYyfnBgtilT
44,Planes,Jeremih,224041,https://open.spotify.com/track/75rDNLl8v6qVYHXGzfHv4c
45,"She's Kinda Hot","5 Seconds of Summer",215087,https://open.spotify.com/track/56nMXANwYgYPBqGX9uEH2M
46,"This Summer","Maroon 5",207061,https://open.spotify.com/track/5NUlOzzMdoIABFTnhizCQa
