Position,"Track Name",Artist,Streams,URL
1,"Trap Queen","Fetty Wap",706645,https://open.spotify.com/track/3twQx3psUMJKj4wna5d1zU
2,"See You Again (feat. Charlie Puth)","Wiz Khalifa",691177,https://open.spotify.com/track/7wqSzGeodspE3V6RBD5W8L
3,"Lean On (feat. MØ & DJ Snake)","Major Lazer",506594,https://open.spotify.com/track/1qE47wUKG2juJwPoLqg4C9
4,"Nasty Freestyle",T-Wayne,490018,https://open.spotify.com/track/0PT7nlpo11hYYyfnBgtilT
5,"The Hills","The Weeknd",486844,https://open.spotify.com/track/2HNcNd5RPZ7DSRNbIl6JsP
6,"Where Are Ü Now (with Justin Bieber)","Jack Ü",471027,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
7,"Want To Want Me","Jason Derulo",412391,https://open.spotify.com/track/0HFx7PLqzGxSfN59j3UHmR
8,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta",392481,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
9,"Shut Up and Dance","WALK THE MOON",382140,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
10,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd",380804,https://open.spotify.com/track/4WGyY671Z37inSpCTBJoIm
11,"Talking Body","Tove Lo",350002,https://open.spotify.com/track/7cgu4JBW3hq1GwTM1ilkKQ
12,Everyday,"A$AP Rocky",348160,https://open.spotify.com/track/0HCVUpGn7trUlx9rOlxZIK
13,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,342186,https://open.spotify.com/track/4fTHdMTq0Znl3djLI1Typn
14,"GDFR (feat. Sage The Gemini & Lookas)","Flo Rida",327532,https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u
15,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",324031,https://open.spotify.com/track/7y2YUIyCuVhBidENVT0068
16,"Uptown Funk","Mark Ronson",319827,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
17,"Thinking Out Loud","Ed Sheeran",312077,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
18,"Worth It","Fifth Harmony",308987,https://open.spotify.com/track/41Fflg7qHiVOD6dEPvsCzO
19,"You Know You Like It","DJ Snake",306219,https://open.spotify.com/track/1sNSG13fsK6KPKKNIQXXrh
20,Sugar,"Maroon 5",302501,https://open.spotify.com/track/5eWgDlp3k6Tb5RD8690s6I
21,L$D,"A$AP Rocky",297944,https://open.spotify.com/track/33BC1kE0ewdO9vaB4wbct8
22,"Bitch Better Have My Money",Rihanna,288924,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
23,"Post To Be (feat. Chris Brown & Jhene Aiko)",Omarion,279308,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
24,"Know Yourself",Drake,274842,https://open.spotify.com/track/5InOp6q2vvx0fShv3bzFLZ
25,Somebody,"Natalie La Rose",262638,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
26,"Stole the Show",Kygo,252318,https://open.spotify.com/track/4iZPNYqzI2L0uwuUKun7Aa
27,"Honey, I'm Good.","Andy Grammer",249659,https://open.spotify.com/track/4orphgwPHHRsdEkfUmANSD
28,"Electric Body","A$AP Rocky",248065,https://open.spotify.com/track/6br4Pc0BzU6dTD5fEmks2i
29,"Time of Our Lives",Pitbull,243414,https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r
30,"Dear Future Husband","Meghan Trainor",236004,https://open.spotify.com/track/3cU2wBxuV6nFiuf6PJZNlC
31,"Watch Me (Whip / Nae Nae)",Silentó,235745,https://open.spotify.com/track/5RIVoVdkDLEygELLCniZFr
32,"Take Me To Church",Hozier,233355,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
33,"Slow Motion","Trey Songz",229228,https://open.spotify.com/track/6ydpPcCGhQ4Ox3H0ly0WcX
