Position,"Track Name",Artist,Streams,URL
1,Sorry,"Justin Bieber",1376259,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
2,Hello,Adele,1102371,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
3,"Love Yourself","Justin Bieber",1068220,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
4,"What Do You Mean?","Justin Bieber",825821,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
5,"Hotline Bling",Drake,738955,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
6,Jumpman,Drake,635789,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
7,"I'll Show You","Justin Bieber",588865,https://open.spotify.com/track/747eWJy8c3u09N30NSqSTp
8,Here,"Alessia Cara",530276,https://open.spotify.com/track/1wYZZtamWTQAoj8B812uKQ
9,"The Hills","The Weeknd",526361,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
10,Stitches,"Shawn Mendes",523334,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
11,"White Iverson","Post Malone",494634,https://open.spotify.com/track/2N0NifjyXAdMOB4KBGvBJ6
12,"Same Old Love","Selena Gomez",444116,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
13,"Can't Feel My Face","The Weeknd",430347,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
14,"The Feeling","Justin Bieber",423863,https://open.spotify.com/track/7vldwy3gdhmPRKWSCi8H61
15,Roses,"The Chainsmokers",406994,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
16,"On My Mind","Ellie Goulding",404288,https://open.spotify.com/track/5a7NdkF09AfD0H607eiOkX
17,"Where Are Ü Now (with Justin Bieber)","Jack Ü",397065,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
18,"679 (feat. Remy Boyz)","Fetty Wap",393856,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
19,Don't,"Bryson Tiller",389630,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
20,Perfect,"One Direction",372498,https://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk
21,Company,"Justin Bieber",358710,https://open.spotify.com/track/09mhA1SJjMHniZPF4Hcihn
22,"Like I'm Gonna Lose You","Meghan Trainor",357054,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW
23,"No Pressure","Justin Bieber",348348,https://open.spotify.com/track/10SDxx0CFWGqgVVBeX22TP
24,Antidote,"Travi$ Scott",344233,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq
25,Focus,"Ariana Grande",343869,https://open.spotify.com/track/3IyeQMpMEqNcEvFQGJ2eps
26,"No Role Modelz","J. Cole",339364,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
27,"Mark My Words","Justin Bieber",329481,https://open.spotify.com/track/5JcxAgRw2S3hb67AA8Vk13
28,"Me, Myself & I",G-Eazy,322553,https://open.spotify.com/track/0KMYgSe9JWHloFeEVBU6qq
29,"Trap Queen","Fetty Wap",314237,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ
30,"No Sense","Justin Bieber",310599,https://open.spotify.com/track/5L9WFUodzACitS1TiGm7Mi
31,"Big Rings",Drake,306718,https://open.spotify.com/track/7jslhIiELQkgW9IHeYNOWE
32,Purpose,"Justin Bieber",306353,https://open.spotify.com/track/3jHCXrZNz8fQEEf4BpWCAj
33,"All I Want For Christmas Is You - Original Version","Mariah Carey",301865,https://open.spotify.com/track/5KdPyhcsQ5PvkvPBq6lLti
34,"Lean On (feat. MØ & DJ Snake)","Major Lazer",293123,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
35,Again,"Fetty Wap",292391,https://open.spotify.com/track/3ESSGgWzRf1xvP7G5hHMhB
