Position,"Track Name",Artist,Streams,URL
1,Hello,Adele,1585532,https://open.spotify.com/track/0ENSn4fwAbCGeFGVUbXEU3
2,Sorry,"Justin Bieber",1280533,https://open.spotify.com/track/2GpHJb7xGNBaIDTrBxjIu6
3,"Hotline Bling",Drake,971929,https://open.spotify.com/track/6nmz4imkDcmtwMjocAzFSx
4,"What Do You Mean?","Justin Bieber",725299,https://open.spotify.com/track/1ds2QsfhAAfRiaFMGDzrdb
5,Jumpman,Drake,682859,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
6,"Love Yourself","Justin Bieber",577590,https://open.spotify.com/track/5KFcz1OYNXyDX7HzSIsNdk
7,Stitches,"Shawn Mendes",572784,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
8,"The Hills","The Weeknd",561647,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
9,"On My Mind","Ellie Goulding",526663,https://open.spotify.com/track/5a7NdkF09AfD0H607eiOkX
10,"I'll Show You","Justin Bieber",505004,https://open.spotify.com/track/048thBsGA2IfiubeNWC0v2
11,"Can't Feel My Face","The Weeknd",500854,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
12,Here,"Alessia Cara",500144,https://open.spotify.com/track/7IUF0dDdzguaFUwwA9BgDu
13,"679 (feat. Remy Boyz)","Fetty Wap",480086,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
14,"Same Old Love","Selena Gomez",465281,https://open.spotify.com/track/6ZANrVuAMp2rpjhfbOuJly
15,"White Iverson","Post Malone",421633,https://open.spotify.com/track/2N0NifjyXAdMOB4KBGvBJ6
16,Focus,"Ariana Grande",400359,https://open.spotify.com/track/3IyeQMpMEqNcEvFQGJ2eps
17,Again,"Fetty Wap",390204,https://open.spotify.com/track/3ESSGgWzRf1xvP7G5hHMhB
18,"Trap Queen","Fetty Wap",366636,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ
19,Perfect,"One Direction",359117,https://open.spotify.com/track/3DnzEB8Ffnp5sjnCbOugUX
20,"Like I'm Gonna Lose You","Meghan Trainor",355674,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW
21,"Lean On (feat. MØ & DJ Snake)","Major Lazer",349347,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
22,"Locked Away","R. City",334879,https://open.spotify.com/track/7x5xYW5W42OGPAdHUyyguy
23,"No Role Modelz","J. Cole",333848,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
24,Antidote,"Travi$ Scott",333217,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq
25,Roses,"The Chainsmokers",327285,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
26,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis",322699,https://open.spotify.com/track/0lLDaAdXcjOQ7Mf2NXzXay
27,"Back To Back",Drake,319331,https://open.spotify.com/track/5lFDtgWsjRJu8fPOAyJIAK
28,"Big Rings",Drake,317366,https://open.spotify.com/track/7jslhIiELQkgW9IHeYNOWE
29,"How Deep Is Your Love","Calvin Harris",306675,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
30,Renegades,"X Ambassadors",300159,https://open.spotify.com/track/0fYVliAYKHuPmECRs1pbRf
31,Confident,"Demi Lovato",299849,https://open.spotify.com/track/6WjmPTZKeDylStKmGHLcqQ
